id	name_jp	name	tag
188	武器・0x0BC	Weapon 0x0BC	flr
189	武器・0x0BD	Weapon 0x0BD	flr
190	武器・0x0BE	Weapon 0x0BE	flr
191	武器・0x0BF	Weapon 0x0BF	flr
192	武器・0x0C0	Weapon 0x0C0	flr
193	仮・参加前薙刀１	(prov) Naginata 1	flr
194	模造薙刀	Fake Naginata	
195	情熱の薙刀	Ardor Naginata	
196	筑紫薙刀	Tsukushi	
197	翠緑のスティック	Emerald Stick	
198	大薙刀	Dai Naginata	
199	原始の薙刀	Primal Naginata	
200	青春のスティック	Youth Stick	
201	無爪鉈長刀	Muso Naginata	
202	小林薙刀	Kobayashi	
203	ビームナギナタ	Beam Naginata	
204	必勝のスティック	Victory Stick	
205	後世の薙刀	Future Naginata	
206	日光大薙刀	Nikko Naginata	
207	ー緒の薙刀	Origin Naginata	
208	園部師範の薙刀	Sonobe Naginata	
209	菩薩錫杖	Khakkhara	
210	静御前の薙刀	Shizuka	
211	銘備州長船兼光	Kanemitsu	
212	武器・0x0D4	Weapon 0x0D4	flr
213	クロススティック	Lacrosse Stick	
214	堅木のスティック	Hardwood Stick	
215	ロングスティック	Long Stick	
216	武器・0x0D8	Weapon 0x0D8	flr
217	武器・0x0D9	Weapon 0x0D9	flr
218	武器・0x0DA	Weapon 0x0DA	flr
219	武器・0x0DB	Weapon 0x0DB	flr
220	武器・0x0DC	Weapon 0x0DC	flr
221	武器・0x0DD	Weapon 0x0DD	flr
222	武器・0x0DE	Weapon 0x0DE	flr
223	武器・0x0DF	Weapon 0x0DF	flr
224	武器・0x0E0	Weapon 0x0E0	flr
225	仮・参加前斧１	(prov) Axe 1	flr
226	仮・参加前斧２	(prov) Axe 2	flr
227	アクス	Axe	
228	円盾の斧	Shield Axe	
229	ヘッドノッカー	Headbanger	
230	バルディッシュ	Bardiche	
231	玄武岩の斧	Basalt Axe	
232	メガアクス	Mega Axe	
233	ウォーリアー	Warborn	
234	大盾の斧	Bastion Axe	
235	変形型アクス	Morph Axe	
236	デスコントラクト	Death Contract	
237	エイリークの血斧	Erik's Bloodaxe	
238	クレセントアクス	Crescent Axe	
239	レテの斧	Lethe Axe	
240	セルティス	Celtis	
241	ギルガメスアクス	Gilgamesh Axe	
242	アマゾネスアクス	Amazon Axe	
243	フルールドマル	Fleurs du Mal	
244	武器・0x0F4	Weapon 0x0F4	flr
245	大理石斧	Marble Axe	
246	武器・0x0F6	Weapon 0x0F6	flr
247	武器・0x0F7	Weapon 0x0F7	flr
248	武器・0x0F8	Weapon 0x0F8	flr
249	武器・0x0F9	Weapon 0x0F9	flr
250	武器・0x0FA	Weapon 0x0FA	flr
251	武器・0x0FB	Weapon 0x0FB	flr
252	武器・0x0FC	Weapon 0x0FC	flr
253	武器・0x0FD	Weapon 0x0FD	flr
254	武器・0x0FE	Weapon 0x0FE	flr
255	武器・0x0FF	Weapon 0x0FF	flr
256	武器・0x100	Weapon 0x100	flr
257	仮・参加前拳１	(prov) Fist 1	flr
258	仮・参加前拳２	(prov) Fist 2	flr
259	ブラスナックル	Brass Knuckles	
260	ヘビーグリップ	Heavy Grip	
261	銅硬貨のナックル	Coin Knuckles	
262	デルタナックル	Delta Knuckles	
263	ハードロッカー	Hard Rocker	
264	ヘルナックル	Hell Knuckles	
265	ソニックバレット	Sonic Fist	
266	ギガンナックル	Titanic Knuckles	
267	メタルダスター	Metal Duster	
268	拳闘士の拳	Pugilist's Fists	
269	レジェンドグラブ	Golden Gloves	
270	オメガナックル	Omega Knuckle	
271	ドラゴンファング	Dragon Fangs	
272	世紀末の拳	Ominous Fists	
273	サバジオス	Sabazios	
274	ダブルジグラット	Double Ziggurat	
275	光輝天馬拳	Pegasus Fist	
276	終極の魔手	Ultimate Fist	
277	チャンプグラブ	Champion Gloves	
278	武器・0x116	Weapon 0x116	flr
279	鉄拳	Iron Fist	
280	武器・0x118	Weapon 0x118	flr
281	武器・0x119	Weapon 0x119	flr
282	武器・0x11A	Weapon 0x11A	flr
283	武器・0x11B	Weapon 0x11B	flr
284	武器・0x11C	Weapon 0x11C	flr
285	武器・0x11D	Weapon 0x11D	flr
286	武器・0x11E	Weapon 0x11E	flr
287	武器・0x11F	Weapon 0x11F	flr
288	武器・0x120	Weapon 0x120	flr
289	仮・参加前両剣１	(prov) Two-hand 1	flr
290	仮・参加前両剣２	(prov) Two-hand 2	flr
291	模造刀	Imitation Katana	
292	ロングソード	Long Sword	
293	チタンクラブ	Titanium Club	
294	伝説風ソード	Mythic Sword	
295	グレートソード	Great Sword	
296	パライズブレード	Paralysis Blade	
297	鬼斬馬	Horsechopper	
298	バスターソード	Bastard Sword	
299	椿丸	Tsubaki-maru	
300	ヴェノムソード	Venom Sword	
301	カラドボルグ	Caladbolg	
302	飛蛍	Tobi-botaru	
303	ガラティン	Galatine	
304	ラビリンスソード	Labyrinth Sword	
305	アダマントクラブ	Mithril Club	
306	薄緑	Usumidori	
307	マサカドの刀	Masakado Sword	
308	キシドーブレード	Kishido Blade	
309	武器・0x135	Weapon 0x135	flr
310	ボーンソード	Bone Sword	
311	武器・0x137	Weapon 0x137	flr
312	武器・0x138	Weapon 0x138	flr
313	武器・0x139	Weapon 0x139	flr
314	武器・0x13A	Weapon 0x13A	flr
315	武器・0x13B	Weapon 0x13B	flr
316	武器・0x13C	Weapon 0x13C	flr
317	武器・0x13D	Weapon 0x13D	flr
318	武器・0x13E	Weapon 0x13E	flr
319	武器・0x13F	Weapon 0x13F	flr
320	武器・0x140	Weapon 0x140	flr
321	仮・参加前脚１	(prov) Legs 1	flr
322	仮・参加前脚２	(prov) Legs 2	flr
323	革靴	Leather Shoes	
324	安全靴	Safety Shoes	
325	厚底スニーカー	Platform Sneaks	
326	ダイナソーレッグ	Dinosaur Legs	
327	南蛮具足	Nanman Gusoku	
328	コブラブーツ	Cobra Boots	
329	跳ね馬シューズ	Bucking Broncos	
330	足甲・毘沙門天	Bishamonten	
331	パニックブーツ	Confusion Boots	
332	鋼鉄シンデレラ	Steel Slippers	
333	ナイスシューズ	Nice Shoes	
334	ヴィーザルの靴	Vidar's Boots	
335	スレイプニール	Sleipnir	
336	モーセの奇跡	Moses Sandals	
337	ステラグリーブ	Stellar Greaves	
338	霊岩の具足	Reigan Greaves	
339	武器・0x153	Weapon 0x153	flr
340	新緑の具足	Verdure Greaves	
341	足甲・風林火山	Furinkazan	
342	武器・0x156	Weapon 0x156	flr
343	武器・0x157	Weapon 0x157	flr
344	武器・0x158	Weapon 0x158	flr
345	武器・0x159	Weapon 0x159	flr
346	武器・0x15A	Weapon 0x15A	flr
347	武器・0x15B	Weapon 0x15B	flr
348	武器・0x15C	Weapon 0x15C	flr
349	武器・0x15D	Weapon 0x15D	flr
350	武器・0x15E	Weapon 0x15E	flr
351	武器・0x15F	Weapon 0x15F	flr
352	武器・0x160	Weapon 0x160	flr
353	仮・参加前扇１	(prov) Fan 1	flr
354	仮・参加前扇２	(prov) Fan 2	flr
355	能扇	Noh Fan	
356	京扇子	Kyo Sensu	
357	花散里	Hanachirusato	
358	荒豪雨の扇	Downpour Fan	
359	強化鉄扇	Fortified Tessen	
360	返しの扇	Inversion Fan	
361	美扇・鈴虫	Suzumushi	
362	マスカレイド	Masquerade	
363	朱雀扇	Suzaku Fan	
364	ジュリ扇	Juli-sen	
365	剛扇・虎落笛	Mogari-Bue	
366	浮気なマダム	Fickle Madam	
367	宝扇・花鳥風月	Treasure Fan	
368	ピエダ	Pieta	
369	夢浮橋	Yume-no-Hashi	
370	原初の海	Primordial Sea	
371	武器・0x173	Weapon 0x173	flr
372	大鳥の扇	Great Bird Fan	
373	武器・0x175	Weapon 0x175	flr
374	武器・0x176	Weapon 0x176	flr
375	武器・0x177	Weapon 0x177	flr
376	武器・0x178	Weapon 0x178	flr
377	武器・0x179	Weapon 0x179	flr
378	武器・0x17A	Weapon 0x17A	flr
379	武器・0x17B	Weapon 0x17B	flr
380	武器・0x17C	Weapon 0x17C	flr
381	武器・0x17D	Weapon 0x17D	flr
382	武器・0x17E	Weapon 0x17E	flr
383	武器・0x17F	Weapon 0x17F	flr
384	武器・0x180	Weapon 0x180	flr
385	仮・参加前爪１	(prov) Claw 1	flr
386	仮・参加前爪２	(prov) Claw 2	flr
387	とげとげクロー	Spiky Claw	
388	にゃん２クロー	Kittycat Claw	
389	ベアークロー	Bear Claw	
390	ティラノクロー	Tyranno Claw	
391	風斬りの爪	Kazegiri	
392	ロックブレイカー	Breaker	
393	サンダークロー	Thunder Claw	
394	ハイパードリル	Hyper Drill	
395	ソニッククロー	Sonic Claw	
396	猛毒爪	Poison Claw	
397	風魔流分銅爪	Fuuma Bundou	
398	危険な爪	Dangerous Claw	
399	プラチナクロー	Platinum Claw	
400	ザ・リッパー	The Ripper	
401	七星蛇骨爪	7-Star Claw	
402	復讐の爪	Claw of Revenge	
403	武器・0x193	Weapon 0x193	flr
404	ドランククロー	Drunkard Claw	
405	武器・0x195	Weapon 0x195	flr
406	武器・0x196	Weapon 0x196	flr
407	武器・0x197	Weapon 0x197	flr
408	武器・0x198	Weapon 0x198	flr
409	武器・0x199	Weapon 0x199	flr
410	武器・0x19A	Weapon 0x19A	flr
411	武器・0x19B	Weapon 0x19B	flr
412	武器・0x19C	Weapon 0x19C	flr
413	武器・0x19D	Weapon 0x19D	flr
414	武器・0x19E	Weapon 0x19E	flr
415	武器・0x19F	Weapon 0x19F	flr
416	武器・0x1A0	Weapon 0x1A0	flr
417	仮・加入前厚板１	(prov) Plate 1	flr
418	仮・加入前厚板２	(prov) Plate 2	flr
419	パイプ椅子	Folding Chair	
420	鉄板	Iron Plate	
421	鋼鉄板	Steel Plate	
422	パワープレート	Power Plate	
423	ハードボード	Hard Board	
424	黄金板	Golden Plate	
425	ラウンドシールド	Round Shield	
426	睡魔の盾	Drowsy Shield	
427	超合金プレート	Alloy Plate	
428	ジェットシールド	Jet Shield	
429	大鬼瓦	Oni-Gawara	
430	ガラハッドの盾	Galahad's Shield	
431	アストゥリアス	Asturias	
432	明王来光盾	Wisdom Shield	
433	ジーザスミラー	Christ Mirror	
434	天命の石版	Destiny Tablet	
435	武器・0x1B3	Weapon 0x1B3	flr
436	原始の石盾	Origin Stone	
437	武器・0x1B5	Weapon 0x1B5	flr
438	武器・0x1B6	Weapon 0x1B6	flr
439	武器・0x1B7	Weapon 0x1B7	flr
440	武器・0x1B8	Weapon 0x1B8	flr
441	武器・0x1B9	Weapon 0x1B9	flr
442	武器・0x1BA	Weapon 0x1BA	flr
443	武器・0x1BB	Weapon 0x1BB	flr
444	武器・0x1BC	Weapon 0x1BC	flr
445	武器・0x1BD	Weapon 0x1BD	flr
446	武器・0x1BE	Weapon 0x1BE	flr
447	武器・0x1BF	Weapon 0x1BF	flr
448	武器・0x1C0	Weapon 0x1C0	flr
449	仮・加入前拳銃１	(prov) Gun 1	flr
450	仮・加入前拳銃２	(prov) Gun 2	flr
451	ナンブ２	Nambu 2	
452	スミス銃	Smith Gun	
453	ピースメーカー	Peacemaker	
454	レイジングブル	Raging Bull	
455	紅の挽歌	Crimson Dirge	
456	アルジャーノン	Algernon	
457	４４アナコンダ	44 Anaconda	
458	シールドガン	Shield Gun	
459	スペオペ光線銃	Sci-fi Raygun	
460	キャメルレッド	Camel Red	
461	クロムハート	Chrome Heart	
462	魔法のガンプ	Magical Gun	
463	アンリミテッド	Unlimited	
464	ジャッジオブヘル	Judge of Hell	
465	ブラックホール	Black Hole	
466	メギドファイア	Megido Gun	
467	武器・0x1D3	Weapon 0x1D3	flr
468	小型種子島式銃	Baby Arquebus	
469	武器・0x1D5	Weapon 0x1D5	flr
470	武器・0x1D6	Weapon 0x1D6	flr
471	武器・0x1D7	Weapon 0x1D7	flr
472	武器・0x1D8	Weapon 0x1D8	flr
473	武器・0x1D9	Weapon 0x1D9	flr
474	武器・0x1DA	Weapon 0x1DA	flr
475	武器・0x1DB	Weapon 0x1DB	flr
476	武器・0x1DC	Weapon 0x1DC	flr
477	武器・0x1DD	Weapon 0x1DD	flr
478	武器・0x1DE	Weapon 0x1DE	flr
479	武器・0x1DF	Weapon 0x1DF	flr
480	武器・0x1E0	Weapon 0x1E0	flr
481	仮・加入前短剣１	(prov) Dagger 1	flr
482	仮・加入前短剣２	(prov) Dagger 2	flr
483	仮・加入前短剣３	(prov) Dagger 3	flr
484	モンキーレンチ	Monkey Wrench	
485	毒塗りの苦無	Poison Kunai	
486	マチェット	Machete	
487	電光の苦無	Blitz Kunai	
488	鴉丸	Karasu-maru	
489	縁切り	En-Giri	
490	月影の苦無	Raven Claw	
491	おどろしの苦無	Fearful Kunai	
492	芭蕉	Basho	
493	松雪包丁	Kitchen Knife	
494	絶影の苦無	Shadowrend	
495	乱破	Rappa	
496	果心居土	Kashin Koji	
497	ナンダカ	Nandaka	
498	ヴァジュラ	Vajra	
499	ソニックナイフ	Sylph Blade	
500	武器・0x1F4	Weapon 0x1F4	flr
501	苦無	Kunai	
502	熟練スパナ	Skill Spanner	
503	武器・0x1F7	Weapon 0x1F7	flr
504	武器・0x1F8	Weapon 0x1F8	flr
505	武器・0x1F9	Weapon 0x1F9	flr
506	武器・0x1FA	Weapon 0x1FA	flr
507	武器・0x1FB	Weapon 0x1FB	flr
508	武器・0x1FC	Weapon 0x1FC	flr
509	武器・0x1FD	Weapon 0x1FD	flr
510	武器・0x1FE	Weapon 0x1FE	flr
511	武器・0x1FF	Weapon 0x1FF	flr
512	武器・0x200	Weapon 0x200	flr
513	仮・加入前片剣１	(prov) One-hand 1	flr
514	仮・加入前片剣２	(prov) One-hand 2	flr
515	仮・加入前片剣３	(prov) One-hand 3	flr
516	仮・加入前片剣４	(prov) One-hand 4	flr
517	仮・加入前片剣５	(prov) One-hand 5	flr
518	ショートソード	Shortsword	
519	エルシド	Tizona	
520	長脇差	Nagawakizashi	
521	獅子王	Shishioh	
522	アロンダイト	Arondight	
523	小烏丸	Kogarasumaru	
524	ルナ・エッジ	Luna Edge	
525	天国	Amakuni	
526	エクスカリバー	Excalibur	
527	デオスクシポス	Deus Xiphos	
528	武器・0x210	Weapon 0x210	flr
529	ファルカタ	Falcata	
530	無銘の脇差	Unmarked Sword	
531	武器・0x213	Weapon 0x213	flr
532	武器・0x214	Weapon 0x214	flr
533	武器・0x215	Weapon 0x215	flr
534	武器・0x216	Weapon 0x216	flr
535	武器・0x217	Weapon 0x217	flr
536	武器・0x218	Weapon 0x218	flr
537	武器・0x219	Weapon 0x219	flr
538	武器・0x21A	Weapon 0x21A	flr
539	武器・0x21B	Weapon 0x21B	flr
540	武器・0x21C	Weapon 0x21C	flr
541	武器・0x21D	Weapon 0x21D	flr
542	武器・0x21E	Weapon 0x21E	flr
543	武器・0x21F	Weapon 0x21F	flr
544	武器・0x220	Weapon 0x220	flr
545	仮・加入前弓１	(prov) Bow 1	flr
546	仮・加入前弓２	(prov) Bow 2	flr
547	仮・加入前弓３	(prov) Bow 3	flr
548	仮・加入前弓４	(prov) Bow 4	flr
549	ショートボウ	Short Bow	
550	スパイラルボウ	Spiral Bow	
551	重藤弓	Shigetou-yumi	
552	サイレスボウ	Silence Bow	
553	弓胎弓	Higo-yumi	
554	風魔の長弓	Fuuma Longbow	
555	アルテミスの弓	Artemis Bow	
556	ヒュドラの毒弓	Hydravenom Bow	
557	プレイアデス	Pleiades	
558	冥府の長弓	Hades Bow	
559	巴の弓	Tomoe's Bow	
560	元始弩弓	Origin Bow	
561	武器・0x231	Weapon 0x231	flr
562	クインテットボウ	Quintet Bow	
563	武器・0x233	Weapon 0x233	flr
564	武器・0x234	Weapon 0x234	flr
565	武器・0x235	Weapon 0x235	flr
566	武器・0x236	Weapon 0x236	flr
567	武器・0x237	Weapon 0x237	flr
568	武器・0x238	Weapon 0x238	flr
569	武器・0x239	Weapon 0x239	flr
570	武器・0x23A	Weapon 0x23A	flr
571	武器・0x23B	Weapon 0x23B	flr
572	武器・0x23C	Weapon 0x23C	flr
573	武器・0x23D	Weapon 0x23D	flr
574	武器・0x23E	Weapon 0x23E	flr
575	武器・0x23F	Weapon 0x23F	flr
576	武器・0x240	Weapon 0x240	flr
577	仮・加入前突剣１	(prov) Rapier 1	flr
578	仮・加入前突剣２	(prov) Rapier 2	flr
579	仮・加入前突剣３	(prov) Rapier 3	flr
580	仮・加入前突剣４	(prov) Rapier 4	flr
581	レイピア	Rapier	
582	シルバーレイピア	Silver Rapier	
583	フルーレ	Fleuret	
584	エスパダ・ロペラ	Espada Ropera	
585	シャドーダンサー	Shadow Dancer	
586	エターナル	Eternal Blade	
587	スティレット	Stiletto	
588	血赤のエストケ	Bloody Estoc	
589	ラストエストック	Final Estoc	
590	イルミナティ	Illuminati	
591	エル・レイピア	Damascus Rapier	
592	黒石旋神	Kokuseki Senjin	
593	武器・0x251	Weapon 0x251	flr
594	フランベルク	Flamberge	
595	武器・0x253	Weapon 0x253	flr
596	武器・0x254	Weapon 0x254	flr
597	武器・0x255	Weapon 0x255	flr
598	武器・0x256	Weapon 0x256	flr
599	武器・0x257	Weapon 0x257	flr
600	武器・0x258	Weapon 0x258	flr
601	武器・0x259	Weapon 0x259	flr
602	武器・0x25A	Weapon 0x25A	flr
603	武器・0x25B	Weapon 0x25B	flr
604	武器・0x25C	Weapon 0x25C	flr
605	武器・0x25D	Weapon 0x25D	flr
606	武器・0x25E	Weapon 0x25E	flr
607	武器・0x25F	Weapon 0x25F	flr
608	武器・0x260	Weapon 0x260	flr
609	仮・加入前槍１	(prov) Spear 1	flr
610	仮・加入前槍２	(prov) Spear 2	flr
611	仮・加入前槍３	(prov) Spear 3	flr
612	仮・加入前槍４	(prov) Spear 4	flr
613	十文字槍	Cross Spear	
614	セクシーランス	Sexy Lance	
615	フラメア	Framea	
616	スコーピオン	Scorpion	
617	桜花十文字槍	Ouka Jumonji	
618	大身槍	Oomiyari	
619	御手杵	Ote-gine	
620	トライデント	Trident	
621	ロムルスの槍	Romulus's Spear	
622	蜻蛉切	Tonbokiri	
623	ピナーカ	Pinaka	
624	ゲイボルグ	Gae Bolg	
625	武器・0x271	Weapon 0x271	flr
626	ジャベリン	Javelin	
627	武器・0x273	Weapon 0x273	flr
628	武器・0x274	Weapon 0x274	flr
629	武器・0x275	Weapon 0x275	flr
630	武器・0x276	Weapon 0x276	flr
631	武器・0x277	Weapon 0x277	flr
632	武器・0x278	Weapon 0x278	flr
633	武器・0x279	Weapon 0x279	flr
634	武器・0x27A	Weapon 0x27A	flr
635	武器・0x27B	Weapon 0x27B	flr
636	武器・0x27C	Weapon 0x27C	flr
637	武器・0x27D	Weapon 0x27D	flr
638	武器・0x27E	Weapon 0x27E	flr
639	武器・0x27F	Weapon 0x27F	flr
640	武器・0x280	Weapon 0x280	flr
641	仮・加入前鈍器１	(prov) Blunt 1	flr
642	仮・加入前鈍器２	(prov) Blunt 2	flr
643	仮・加入前鈍器３	(prov) Blunt 3	flr
644	仮・加入前鈍器４	(prov) Blunt 4	flr
645	スレッジハンマー	Sledgehammer	
646	ニリ・リ	Nirili	
647	メガトンハンマー	Megaton Hammer	
648	撲殺丸	Night Stalker	
649	ロケットハンマー	Rocket Hammer	
650	圧殺の金槌	The Pulverizer	
651	バス停	Bus Stop Sign	
652	ウコンバサラ	Ukonvasara	
653	エリミネイター	Eliminator	
654	ミョルニル	Mjolnir	
655	武王の玄能	Warlord Hammer	
656	カドゥケウス	Caduceus	
657	武器・0x291	Weapon 0x291	flr
658	オーガハンマー	Ogre Hammer	
659	武器・0x293	Weapon 0x293	flr
660	武器・0x294	Weapon 0x294	flr
661	武器・0x295	Weapon 0x295	flr
662	武器・0x296	Weapon 0x296	flr
663	武器・0x297	Weapon 0x297	flr
664	武器・0x298	Weapon 0x298	flr
665	武器・0x299	Weapon 0x299	flr
666	武器・0x29A	Weapon 0x29A	flr
667	武器・0x29B	Weapon 0x29B	flr
668	武器・0x29C	Weapon 0x29C	flr
669	武器・0x29D	Weapon 0x29D	flr
670	武器・0x29E	Weapon 0x29E	flr
671	武器・0x29F	Weapon 0x29F	flr
672	武器・0x2A0	Weapon 0x2A0	flr
673	仮・加入前重砲１	(prov) Cannon 1	flr
674	仮・加入前重砲２	(prov) Cannon 2	flr
675	仮・加入前重砲３	(prov) Cannon 3	flr
676	仮・加入前重砲４	(prov) Cannon 4	flr
