id	name_jp	name	tag	arcana	base_level	hp	sp	s1	s2	s3	s4	s5	s6	exp
264	ペンテシレア	Penthesilea	p3	4	1	0	0							
265	アルテミシア	Artemisia	p3	4	1	0	0							
266	ルキア	Lucia	p3	3	1	0	0							
267	ユノ	Juno	p3	3	1	0	0							
268	パラディオン	Palladion	p3	8	1	0	0							
269	アテナ	Athena	p3	8	1	0	0							
270	ネメシス	Nemesis	p3	9	1	0	0							
271	カーラ・ネミ	Kala-Nemi	p3	9	1	0	0							
272	ケルベロス	Cerberus	p3	12	1	0	0							
273	ケルベロス	Cerberus	p3	12	1	0	0							
274	カストール	Castor	p3	6	1	0	0							
275	カストール	Castor	p3	6	1	0	0							
276	オルフェウス	Orpheus	p3p	1	1	0	0	4098	4259					
277	メサイア	Messiah	p3p	21	1	0	0	4098						
278	アルセーヌ	Arsene	p5	1	1	0	0	5482	4246					
279	サタナエル	Satanael	p5	1	1	0	0	5482						
280	キャプテン・キッド	Captain Kidd	p5	8	1	0	0							
281	セイテンタイセイ	Seiten Taisei	p5	8	1	0	0							
282	カルメン	Carmen	p5	7	1	0	0							
283	ヘカーテ	Hecate	p5	7	1	0	0							
284	ゾロ	Zorro	p5	2	1	0	0							
285	メルクリウス	Mercurius	p5	2	1	0	0							
286	ゴエモン	Goemon	p5	5	1	0	0							
287	カムスサノヲ	Kamu Susano-o	p5	5	1	0	0							
288	ヨハンナ	Johanna	p5	3	1	0	0							
289	アナト	Anat	p5	3	1	0	0							
290	ネクロノミコン	Necronomicon	p5	10	1	0	0							
291	プロメテウス	Prometheus	p5	10	1	0	0							
292	ミラディ	Milady	p5	4	1	0	0							
293	アスタルテ	Astarte	p5	4	1	0	0							
294	ロビンフッド	Robin Hood	p5	9	1	0	0							
295	ロビンフッド	Robin Hood	p5	9	1	0	0							
296	ブランク	Blank	inv	0	99	100	50							
297	ブランク	BLANK	inv	0	99	100	50							
298	ブランク	BLANK	inv	0	99	100	50							
299	ブランク	BLANK	inv	0	99	100	50							
300	ブランク	BLANK	inv	0	99	100	50							
301	ブランク	BLANK	inv	0	99	100	50							
302	ブランク	BLANK	inv	0	99	100	50							
303	ブランク	BLANK	inv	0	99	100	50							
304	ブランク	BLANK	inv	0	99	100	50							
305	ブランク	BLANK	inv	0	99	100	50							
306	ブランク	BLANK	inv	0	99	100	50							
307	ブランク	BLANK	inv	0	99	100	50							
308	ブランク	BLANK	inv	0	99	100	50							
309	ブランク	BLANK	inv	0	99	100	50							
310	ブランク	BLANK	inv	0	99	100	50							
311	ブランク	BLANK	inv	0	99	100	50							
312	ブランク	BLANK	inv	0	99	100	50							
313	ブランク	BLANK	inv	0	99	100	50							
314	ブランク	BLANK	inv	0	99	100	50							
315	ブランク	BLANK	inv	0	99	100	50							
316	ブランク	BLANK	inv	0	99	100	50							
317	ブランク	BLANK	inv	0	99	100	50							
318	ブランク	BLANK	inv	0	99	100	50							
319	ブランク	BLANK	inv	0	99	100	50							
320	ブランク	BLANK	inv	0	99	100	50							
321	ブランク	BLANK	inv	0	99	100	50							
322	ブランク	BLANK	inv	0	99	100	50							
323	ブランク	BLANK	inv	0	99	100	50							
324	ブランク	BLANK	inv	0	99	100	50							
325	ブランク	BLANK	inv	0	99	100	50							
326	ブランク	BLANK	inv	0	99	100	50							
327	ブランク	BLANK	inv	0	99	100	50							
328	ブランク	BLANK	inv	0	99	100	50							
329	ブランク	BLANK	inv	0	99	100	50							
330	ブランク	BLANK	inv	0	99	100	50							
331	ブランク	BLANK	inv	0	99	100	50							
332	ブランク	BLANK	inv	0	99	100	50							
333	ブランク	BLANK	inv	0	99	100	50							
334	ブランク	BLANK	inv	0	99	100	50							
335	ブランク	Blank	inv	0	99	100	50							
336	サキミタマ	Saki Mitama	val	19	55	890	300	4438	4437	4439				1319366
337	クシミタマ	Kushi Mitama	val	18	41	680	220	4443	4462					622157
338	ニギミタマ	Nigi Mitama	val	17	23	340	140	4438	4437					135775
339	アラミタマ	Ara Mitama	val	12	61	1000	310	4438	4437					1706563
340	マンドレイク	Mandrake	val	11	2	90	30	4444	4461					199
341	ハルパス	Halphas	val	6	5	120	30	4228	4110	4380				2525
342	ヘケト	Heqet	val	7	7	160	60	4431	4473	4439				6028
343	ケルピー	Kelpie	val	11	11	200	70	4444	4437					19475
344	シルキー	Silky	val	15	10	180	60	4122	4675					15193
345	スダマ	Sudama	val	19	7	160	60	4473	4459					6028
346	バイコーン	Bicorn	val	15	17	260	110	4459	4439					61041
347	ビフロンス	Bifrons	val	1	12	180	70	5482	5472					24444
348	ユキジョロウ	Yuki Jyorou	val	11	18	240	100	4523	4125	4185				70984
349	ゴモリー	Gemori	val	18	16	230	90	5492	5502	4305				52022
350	アーマーン	Ammut	val	17	20	400	80	4256	4138	4610				93786
351	コッパテング	Koppa Tengu	val	6	21	310	120	4442	4431					106712
352	プリンシパリティ	Principality	val	9	20	280	110	5472	4179					93786
353	カラドリウス	Caladrius	val	10	26	350	150	4525	4287	4676				187847
354	ペレ	Pele	val	20	26	330	140	4099	4247	4598				187847
355	マヤウェル	Mayahuel	val	4	29	410	130	4534	5493	4148				250742
356	イナバシロウサギ	Hare of Inaba	val	19	25	430	100	4278	5548	5475				169323
357	ナルキッソス	Narcissus	val	7	30	500	150	4532	4381					274228
358	スレイプニル	Sleipnir	val	18	34	530	170	4525	4136	5592				381345
359	ベルセルク	Berserker	val	21	35	520	180	4231	4497	4687				411511
360	ダンタリアン	Dantalian	val	6	36	540	180	4399	4249	4598				443067
361	ズェラロンズ	Dzelarhons	val	3	41	710	190	4296	4485	4626				622157
362	ヴィヴィアン	Vivian	val	7	34	770	120	4123	4186	4365				381345
363	バフォメット	Baphomet	val	16	59	850	290	5496	4493					1571759
364	ルーグ	Lugh	val	20	46	1010	150	4231	4252	5496				837707
365	ケルプ	Cherub	val	6	43	840	160	4136	4334	4311				703947
366	ハクジョウシ	Bai Suzhen	val	1	40	610	210	4262	4523	4319				583458
367	フェンリル	Fenrir	val	19	43	940	140	4260	4497	4326				703947
368	ハトホル	Hathor	val	20	48	690	230	5506	4347	4618				934319
369	ミトラス	Mithras	val	15	64	1460	200	4400	4373					1919232
370	バグス	Bugs	val	14	58	1120	220	4260	4247	4857				1506491
371	ロンギヌス	Longinus	val	17	55	1010	200	4253	4263	4139				1319366
372	ローレライ	Lorelei	val	7	66	1320	230	5506	4253					2067798
373	バロール	Balor	val	14	68	1690	230	5511	4335					2221619
374	ヴィーヴル	Vouivre	val	16	62	970	300	4491	4641	4307				1776072
375	モロク	Moloch	val	13	60	1290	190	4398	4344					1638453
376	プロメテウス	Prometheus	inv	21	99	100	50							
377	ウロボロス	Ouroboros	val	11	71	1230	380	5494	4307					2461820
378	ジャンヌ・ダルク	Jeanne d'Arc	val	9	60	1150	220	4261	4277	5494				1638453
379	バアル	Baal	val	5	65	1280	230	4527	4114					1992848
380	セイオウボ	Xi Wangmu	val	4	67	1060	330	4124	4126	4312				2144062
381	クドラク	Kudlak	val	2	72	1190	380	4292	5504	4180				2544317
382	クルースニク	Kresnik	val	6	72	1520	280	4523	4129	4824				2544317
383	ブラックマリア	Black Maria	val	3	83	1400	470	4127	4595	4347				3522414
384	セラフ	Seraph	val	9	85	1360	450	4100	4124	5571				3712112
385	コウテイ	Huang Di	val	5	89	1670	420	4145	4361	4362				4099806
386	オルフェウス・賊神	Orpheus Picaro	dlc	1	35	600	250	4395	4102	5570				411511
387	メサイア・賊神	Messiah Picaro	dlc	21	60	1200	280	5187	4530	4824				1638453
388	タナトス・賊神	Thanatos Picaro	dlc	14	48	1000	350	4389	4148	4509				934319
389	イザナギ・賊神	Izanagi Picaro	dlc	1	23	600	200	5191	4138	5567				135775
390	マガツイザナギ賊神	M. Izanagi Picaro	dlc	17	40	990	240	4391	4263	4497				583458
391	カグヤ・賊神	Kaguya Picaro	dlc	19	25	500	200	4393	5475	5570				169323
392	アリアドネ	Ariadne	dlc	11	15	280	140	5189	4255	4386				43891
393	アリアドネ・賊神	Ariadne Picaro	dlc	11	30	400	200	5189	4264	4387				274228
394	ツキヨミ	Tsukiyomi	dlc	19	72	1250	480	5190	5509	5510				2544317
395	ツキヨミ・賊神	Tsukiyomi Picaro	dlc	19	76	1360	450	5190	5499	5500				2885733
396	アステリオス	Asterius	dlc	11	80	1950	320	5188	4274	5568				3243983
397	アステリオス・賊神	Asterius Picaro	dlc	11	82	2000	280	5188	4251	4254				3428749
398	ブランク	Blank	inv	0	99	100	50							
399	ブランク	BLANK	inv	0	99	100	50							
400	ブランク	Blank	inv	0	99	100	50							
