id	oid	name_jp	name	tag
4151	55	漆黒の蛇	Black Viper	val
4152	56	明けの明星	Morning Star	val
4153	57	ブランク	BLANK	unk
4154	58	ブランク	BLANK	unk
4155	59	ブランク	BLANK	unk
4156	60	ブランク	BLANK	unk
4157	61	ハマ	Hama	val
4158	62	ハマオン	Hamaon	val
4159	63	マハンマ	Mahama	val
4160	64	マハンマオン	Mahamaon	val
4161	65	ブランク	BLANK	unk
4162	66	ブランク	BLANK	unk
4163	67	回転説法	Samsara	val
4164	68	ブランク	BLANK	unk
4165	69	ブランク	BLANK	unk
4166	70	ブランク	BLANK	unk
4167	71	ブランク	BLANK	unk
4168	72	ムド	Mudo	val
4169	73	ムドオン	Mudoon	val
4170	74	マハムド	Mamudo	val
4171	75	マハムドオン	Mamudoon	val
4172	76	ブランク	BLANK	unk
4173	77	ブランク	BLANK	unk
4174	78	死んでくれる？	Die For Me!	val
4175	79	ブランク	BLANK	unk
4176	80	ブランク	BLANK	unk
4177	81	ブランク	BLANK	unk
4178	82	ブランク	BLANK	unk
4179	83	プリンパ	Pulinpa	val
4180	84	テンタラフー	Tentarafoo	val
4181	85	ポイズマ	Poisma	val
4182	86	ポイズンブレス	Poison Breath	val
4183	87	ブランク	Blank	unk
4184	88	ブランク	Blank	unk
4185	89	ドルミナー	Dormina	val
4186	90	スリープソング	Lullaby Song	val
4187	91	デビルタッチ	Evil Touch	val
4188	92	デビルスマイル	Evil Smile	val
4189	93	ブランク	BLANK	unk
4190	94	ブランク	BLANK	unk
4191	95	重い道着系	Heavy Gi	unk
4192	96	ド根性の腕輪	Bracer of Might	unk
4193	97	神の贄	Sacrificial Idol	unk
4194	98	ルドラリング	Rudra Ring	unk
4195	99	チャクラリング	Chakra Ring	unk
4196	100	風柳の翼	Willow Wing	unk
4197	101	雪折不の翼	Snowy Wing	unk
4198	102	歯亡舌存の翼	Enduring Wing	unk
4199	103	極炎塊	Blazing Flame	unk
4200	104	絶冷石	Frozen Stone	unk
4201	105	暴嵐の指輪	Storm Ring	unk
4202	106	雷神の腕輪	Lightning Gloves	unk
4203	107	白き光輪	Radiant Halo	unk
4204	108	黒き闇輪	Ring of Darkness	unk
4205	109	白刃鳥の羽根	Bladed Plume	unk
4206	110	鉄製のペンダント	Iron Pendant	unk
4207	111	ヘルメット	Helmet	unk
4208	112	全能の真球	Omnipotent Orb	unk
4209	113	ブランク	BLANK	unk
4210	114	ゲルマニウムの輪	Germanium Ring	unk
4211	115	贖罪の羊	Scapegoat	unk
4212	116	体魂反転リング	Body-Soul Ring	unk
4213	117	力魔反転リング	St-Ma Reverse	unk
4214	118	力耐反転リング	St-En Reverse	unk
4215	119	力速反転リング	St-Ag Reverse	unk
4216	120	力運反転リング	St-Lu Reverse	unk
4217	121	魔耐反転リング	Ma-En Reverse	unk
4218	122	魔速反転リング	Ma-Ag Reverse	unk
4219	123	魔運反転リング	Ma-Lu Reverse	unk
4220	124	耐速反転リング	En-Ag Reverse	unk
4221	125	耐運反転リング	En-Lu Reverse	unk
4222	126	速運反転リング	Ag-Lu Reverse	unk
4223	127	ブランク	Blank	unk
4224	128	ブランク	BLANK	unk
4225	129	牙砕き	Fang Smash	val
4226	130	胆砕き	Kidney Smash	val
4227	131	大切断	Giant Slice	val
4228	132	ツインスラッシュ	Twin Slash	val
4229	133	レッグリーパー	Leg Reaper	val
4230	134	トリプルダウン	Triple Down	val
4231	135	剛殺斬	Mighty Swing	val
4232	136	アキレスリーパー	Achilles Reaper	val
4233	137	カームバスター	Silent Thrust	val
4234	138	暴れまくり	Rampage	val
4235	139	霧氷刃	Frost Edge	val
4236	140	残心剣	Zanshinken	val
4237	141	残心の一撃	Zanshin Strike	unk
4238	142	デスニードル	Death Needle	val
4239	143	ギロチンカット	Guillotine	val
4240	144	五月雨斬り	Tempest Slash	val
4241	145	閃電砕	Mind Strike	val
4242	146	ホーリータッチ	Holy Touch	val
4243	147	我慢の鉄槌	Revenge Blow	val
4244	148	鉄槌の一撃	Hammer Strike	unk
4245	149	両腕落とし	Arm Chopper	val
4246	150	シングルショット	Single Shot	val
4247	151	スケアスロウ	Scarecrow	val
4248	152	ナイアーム	Disarm	val
4249	153	マカジャマ	Makajam	val
4250	154	アサルトショット	Assault Shot	val
4251	155	イノセントタック	Primal Force	val
4252	156	武器砕き	Weapon Crusher	val
4253	157	ホライズショット	Broadshot	val
4254	158	刹那五月雨撃	Myriad Arrows	val
4255	159	パニッシュメント	Punishment	val
4256	160	アサルトダイブ	Assault Dive	val
4257	161	まどろみパンチ	Sleeper Punch	val
4258	162	アーマークラック	Armor Splitter	val
4259	163	突撃	Lunge	val
4260	164	デスバウンド	Deathbound	val
4261	165	利剣乱舞	Blade of Fury	val
4262	166	氷殺刃	Glacial Edge	val
4263	167	空間殺法	Vorpal Blade	val
4264	168	黒の舞踏	Danse Macabre	val
4265	169	ヘッドバット	Headbutt	val
4266	170	熔熱発破	Fusion Blast	val
4267	171	ヒートウェイブ	Heat Wave	val
4268	172	光明波	Light Wave	val
4269	173	ブランク	Blank	unk
4270	174	絶妙剣	Brutal Slash	val
4271	175	フォトンエッジ	Photon Edge	val
4272	176	プラーナ	Prana	val
4273	177	天軍の剣	Heaven's Blade	val
4274	178	ゴッドハンド	God's Hand	val
4275	179	天使のラッパ	Angelic Trumpet	val
4276	180	八艘跳び	Hassou Tobi	val
4277	181	ヘビーレイン	Hailstorm	val
4278	182	アローシャワー	Arrow Rain	val
4279	183	アイオンの雨	Aeon Rain	val
4280	184	首討ち	Beheading Cut	unk
4281	185	ブランク	Blank	unk
4282	186	ブランク	BLANK	unk
4283	187	ブランク	Blank	unk
4284	188	毒串刺し	Poison Skewer	val
4285	189	紅蓮刀	Gurentou	val
4286	190	凍殺刃	Tousatsujin	val
4287	191	雷光斬	Raikouzan	val
4288	192	陣風撃	Jinpugeki	val
4289	193	真空波	Shinkuuha	val
4290	194	烈星波	Resseiha	val
4291	195	プララヤ	Pralaya	val
4292	196	シャドウラン	Shadow Run	val
4293	197	終わる世界	World's End	val
4294	198	雷鳴斬	Raimeizan	val
4295	199	雷神斬	Raijinzan	val
4296	200	獄炎刀	Gokuentou	val
4297	201	緋炎刀	Hientou	val
4298	202	烈風撃	Reppu Strike	val
4299	203	神風撃	Kamikaze Strike	val
4300	204	ブランク	Blank	unk
4301	205	ブランク	BLANK	unk
4302	206	ブランク	BLANK	unk
4303	207	ブランク	BLANK	unk
4304	208	ブランク	BLANK	unk
4305	209	ディア	Dia	val
4306	210	ディアラマ	Diarama	val
4307	211	ディアラハン	Diarahan	val
4308	212	ラインヒール	Line Heal	unk
4309	213	生命の杯	Life Goblet	unk
4310	214	メディア	Media	val
4311	215	メディラマ	Mediarama	val
4312	216	メディアラハン	Mediarahan	val
4313	217	リカーム	Recarm	val
4314	218	サマリカーム	Samarecarm	val
4315	219	トリート	Treatment	unk
4316	220	リニューアル	Renewal	unk
4317	221	パトラ	Patra	val
4318	222	リフレッシュ	Refresh	unk
4319	223	メパトラ	Me Patra	val
4320	224	クロズディ	Mutudi	val
4321	225	リラックス	Becalm	unk
4322	226	マハクロズディ	Mamutudi	unk
4323	227	アムリタ	Amrita	val
4324	228	ブランク	BLANK	unk
4325	229	ブランク	BLANK	unk
4326	230	獣の咆哮	Bestial Roar	val
4327	231	龍の咆哮	Dragon Cry	val
4328	232	リンクプラス	Improved Link	unk
4329	233	真・リンクプラス	Master Link	unk
4330	234	ブランク	Blank	unk
4331	235	ブランク	Blank	unk
4332	236	ヘイトイーター	Pain-Eater	unk
4333	237	ボディーガード	Safeguard	unk
4334	238	ラインガード	Line Guard	val
4335	239	オールガード	All Guard	val
4336	240	ブランク	Blank	unk
4337	241	聖なる加護	Holy Blessing	unk
4338	242	猛き戦いの舞曲	Warrior Song	unk
4339	243	防御陣形	Strike Guard	unk
4340	244	反逆の先導者	Rebel Vanguard	unk
4341	245	会心眼	Critical Eye	val
4342	246	大変革の先導者	Revolt Vanguard	unk
4343	247	マハタルカジャ	Matarukaja	val
4344	248	マハラクカジャ	Marakukaja	val
4345	249	マハスクカジャ	Masukukaja	val
4346	250	チャージ	Power Charge	val
4347	251	コンセントレイト	Mind Charge	val
4348	252	炎の加護	Fire Blessing	unk
4349	253	氷の加護	Ice Blessing	unk
4350	254	雷の加護	Elec Blessing	unk
4351	255	風の加護	Wind Blessing	unk
4352	256	ブランク	Blank	unk
4353	257	ブランク	BLANK	unk
4354	258	ブランク	BLANK	unk
4355	259	ブランク	BLANK	unk
4356	260	ブランク	BLANK	unk
4357	261	マハタルンダ	Matarunda	val
4358	262	マハラクンダ	Marakunda	val
4359	263	マハスクンダ	Masukunda	val
4360	264	ブランク	Blank	unk
4361	265	獅子奮迅の大号令	Fury Order	val
4362	266	精神一到の大号令	Focus Order	val
4363	267	ブランク	Blank	unk
4364	268	呪縛の妖気	Binding Aura	val
4365	269	サロメの口づけ	Salome's Kiss	val
4366	270	ブランク	BLANK	unk
4367	271	ブランク	BLANK	unk
4368	272	ブランク	BLANK	unk
4369	273	デカジャ	Dekaja	val
4370	274	デクンダ	Dekunda	val
4371	275	ブランク	Blank	unk
4372	276	念動の壁	Psy Screen	val
4373	277	核熱の壁	Nuclear Screen	val
4374	278	火炎の壁	Fire Screen	val
4375	279	疾風の壁	Wind Screen	val
4376	280	氷結の壁	Ice Screen	val
4377	281	電撃の壁	Elec Screen	val
4378	282	祝福の壁	Bless Screen	val
4379	283	呪怨の壁	Curse Screen	val
4380	284	タルカジャ	Tarukaja	val
4381	285	ラクカジャ	Rakukaja	val
4382	286	スクカジャ	Sukukaja	val
4383	287	タルンダ	Tarunda	val
4384	288	ラクンダ	Rakunda	val
4385	289	スクンダ	Sukunda	val
4386	290	ランダマイザ	Debilitate	val
4387	291	ヒートライザ	Heat Riser	val
4388	292	真・会心眼	True Critical Eye	val
4389	293	冥府の扉	Door of Hades	dlc
4390	294	冥府への誘い	Call to Hades	unk
4391	295	災厄の種	Calamity Seed	dlc
4392	296	災厄の到来	Calamity's Advent	unk
4393	297	月の加護	Lunar Blessing	dlc
4394	298	ブランク	BLANK	unk
4395	299	再生の竪琴	Healing Harp	dlc
4396	300	ブランク	Blank	unk
4397	301	紫電砕	Mental Smash	val
4398	302	震電砕	Psycho Smash	val
4399	303	灼熱発破	Scorching Blast	val
4400	304	核熱発破	Nuclear Blast	val
4401	305	睡眠拳	Sleep Strike	val
4402	306	ブレインシェイク	Brain Shake	val
4403	307	アーマーブレイク	Armor Breaker	val
4404	308	アーマーキラー	Armor Destroyer	val
4405	309	ブランク	Blank	unk
4406	310	ブランク	BLANK	unk
4407	311	ブランク	BLANK	unk
4408	312	ブランク	Blank	unk
4409	313	フル・アナライズ	True Analysis	unk
4410	314	フル・アナライズ	True Analysis	unk
4411	315	ーロシフト	Zero Shift	unk
4412	316	ーロシフト	Zero Shift	unk
4413	317	アンコール	Encore	unk
4414	318	アンコール	Encore	unk
4415	319	未使用・オラクル	Unused SP Skill	unk
4416	320	オラクル	Oracle	unk
4417	321	総攻撃	All-out Attack	unk
4418	322	スタコラフット	Sutakora Foot	unk
4419	323	アナライズ	Analyze	unk
4420	324	ハイ・アナライズ	Full Analysis	unk
4421	325	蛇ニラミ	Snake Glare	val
4422	326	英気の泉	Heroic Wind	val
4423	327	諦めない心	Unyielding Heart	hikari
4424	328	想いよ届け	Let Me Reach Them	hikari
4425	329	ひかりの想い	Hikari's Feelings	hikari
4426	330	癒しの神風	Healing Tide	unk
4427	331	豊穣祈願	Harvest Prayer	val
4428	332	大豊作	Cornucopia	unk
4429	333	癒しの神風	Healing Tide	unk
4430	334	ブランク	Blank	unk
4431	335	治癒の法力	Renewal Ray	val
4432	336	治癒の神通力	Renewal Aura	unk
4433	337	ミニリカバリー	Mini Recovery	unk
4434	338	スポットライト	Spotlight	unk
4435	339	黄泉返し	Yomi Return	val
4436	340	サードアイ	Third Eye	unk
4437	341	強硬の法力	Orb of Resolve	val
4438	342	剛力の法力	Orb of Power	val
4439	343	敏速の法力	Orb of Haste	val
4440	344	勝利の息吹	Life Aid	val
4441	345	勝利の雄叫び	Victory Cry	val
4442	346	安全祈願	Safety Prayer	val
4443	347	大安心	Calming Lull	val
4444	348	おまじない	Spotter	val
4445	349	打ち出の小槌	Magic Mallet	val
4446	350	ファイナルガード	Final Guard	unk
4447	351	ファイナルガード	Final Guard	unk
4448	352	ビッグウェイブ	Tidal Wave	unk
4449	353	オラクル	Oracle	unk
4450	354	オラクル	Oracle	unk
4451	355	オラクル	Oracle	unk
4452	356	オラクル	Oracle	unk
4453	357	オラクル	Oracle	unk
4454	358	オラクル	Oracle	unk
4455	359	ミニリカバリー	Mini Recovery	unk
4456	360	総攻撃カメラ用	総攻撃カメラ用	unk
4457	361	常世の祈り	Prayer	unk
4458	362	スニークガイド	Sneak Guide	unk
4459	363	財宝ハンター	Treasure Hunter	val
4460	364	秘宝ハンター	Fortune Hunter	val
4461	365	妖精の抜け穴	Faerie's Vigil	val
4462	366	天狗の抜け穴	Tengu's Vigil	val
4463	367	千里眼	Clairvoyance	val
4464	368	万里眼	Farsight	val
4465	369	浄化の雨	Purifying Rain	val
4466	370	お宝スキミング	Treasure Skimmer	unk
4467	371	ーロセット	Zero Set	unk
4468	372	久遠の調べ	Eternal Melody	val
4469	373	オンステージ	On Stage	unk
4470	374	エスケープロード	Escape Route	unk
4471	375	ひかりの応援	Hikari's Cheer	unk
4472	376	リスクヘッジ	Risk Management	unk
4473	377	豊漁祈願	Hunting Prayer	val
4474	378	大豊漁	Endless Bounty	unk
4475	379	サードアイ	Third Eye	unk
4476	380	チアーマーチ	Cheer March	unk
4477	381	光の路	Paths of Light	val
4478	382	光の天路	Roads of Light	val
4479	383	ブランク	Blank	unk
4480	384	ブランク	Blank	unk
4481	385	摩耗の魔法陣	Stun Circle	val
4482	386	魔法陣　起動	Magic Circle	unk
4483	387	催眠の魔法陣	Sleep Circle	val
4484	388	魔法陣　起動	Magic Circle	unk
4485	389	有毒の魔法陣	Poison Circle	val
4486	390	魔法陣　起動	Magic Circle	unk
4487	391	混迷の魔法陣	Confusion Circle	val
4488	392	魔法陣　起動	Magic Circle	unk
4489	393	沈黙の魔法陣	Silence Circle	val
4490	394	魔法陣　起動	Magic Circle	unk
4491	395	無力の魔法陣	Decay Circle	val
4492	396	魔法陣　起動	Magic Circle	unk
4493	397	鈍重の魔法陣	Lethargy Circle	val
4494	398	魔法陣　起動	Magic Circle	unk
4495	399	守護獣召喚	Beast Summon	val
4496	400	守護神召喚	Spirit Summon	val
4497	401	修羅転生	Shura Tensei	val
4498	402	修羅場からの帰還	Shura Revert	val
4499	403	修羅の本能	Shura Instincts	val
4500	404	オルギアモード	Orgia Mode	unk
4501	405	モード解除	Mode Disengage	unk
4502	406	回復メメント	Heal Memento	unk
4503	407	回復メメント	Heal Memento	unk
4504	408	解放メメント	Free Memento	val
4505	409	解放メメント	Free Memento	unk
4506	410	自浄メメント	Pure Memento	val
4507	411	自浄メメント	Pure Memento	unk
4508	412	軽減の加護	Blessing of Relief	unk
4509	413	デスカウンター	Death Counter	val
4510	414	デスカウンター	Death Counter	unk
4511	415	デスチェイサー	Death Chaser	val
4512	416	デスチェイサー	Death Chaser	unk
4513	417	猛撃スタンス	Fierce Stance	unk
4514	418	猛撃スタンス	Fierce Stance	unk
4515	419	猛攻の構え	Ferocious Stance	unk
4516	420	ガード体勢	Guard Stance	unk
4517	421	ブランク	Blank	unk
4518	422	ブランク	BLANK	unk
4519	423	ブランク	BLANK	unk
4520	424	ブランク	Blank	unk
4521	425	連鎖の炎撃	Firestrike Link	val
4522	426	連鎖の炎	Fire Link	unk
4523	427	連鎖の氷撃	Icestrike Link	val
4524	428	連鎖の氷	Ice Link	unk
4525	429	連鎖の雷撃	Elecstrike Link	val
4526	430	連鎖の雷	Elec Link	unk
4527	431	連鎖の風撃	Windstrike Link	val
4528	432	連鎖の風	Wind Link	unk
4529	433	ヘイトサーチャー	Pain Watcher	unk
4530	434	連鎖の打撃	Strike Link	val
4531	435	連鎖の一撃	Smash Link	unk
4532	436	連鎖の念撃	Psystrike Link	val
4533	437	連鎖の念動	Psy Link	unk
4534	438	連鎖の核撃	Nucleostrike Link	val
4535	439	連鎖の核熱	Nuclear Link	unk
4536	440	ブランク	Blank	unk
4537	441	ブランク	BLANK	unk
4538	442	ブランク	BLANK	unk
4539	443	ブランク	BLANK	unk
4540	444	ブランク	BLANK	unk
4541	445	ブランク	BLANK	unk
4542	446	ブランク	BLANK	unk
4543	447	ブランク	BLANK	unk
4544	448	ブランク	BLANK	unk
4545	449	ブランク	BLANK	unk
4546	450	ブランク	BLANK	unk
4547	451	ブランク	BLANK	unk
4548	452	ブランク	BLANK	unk
4549	453	ブランク	BLANK	unk
4550	454	ブランク	BLANK	unk
4551	455	ブランク	BLANK	unk
4552	456	ブランク	BLANK	unk
4553	457	ブランク	BLANK	unk
4554	458	ブランク	BLANK	unk
4555	459	ブランク	BLANK	unk
4556	460	ブランク	BLANK	unk
4557	461	ブランク	BLANK	unk
4558	462	ブランク	BLANK	unk
4559	463	ブランク	BLANK	unk
4560	464	ブランク	Blank	unk
4561	465	オルギアマスタリ	Orgia Mastery	unk
4562	466	探偵の心得	Spy Arts	unk
4563	467	探偵の極意	Spy Expertise	unk
4564	468	決めポーズ	Pose	unk
4565	469	必殺決めポーズ	Heroic Pose	unk
4566	470	無頼の心得	Hermit Arts	unk
4567	471	無頼の悟り	Hermit Mastery	unk
4568	472	ダブルアタック	Double Attack	unk
4569	473	地獄の先導者	Deadly Vanguard	unk
4570	474	女帝の心得	Empress Arts	unk
4571	475	女帝の悟り	Empress Mastery	unk
4572	476	従者のカード	Squire Card	unk
4573	477	愚者のカード	Fool Card	unk
4574	478	拳闘士の心得	Soldier Arts	unk
4575	479	拳闘士の悟り	Soldier Mastery	unk
4576	480	功夫の心得	Kung Fu Arts	unk
4577	481	功夫の悟り	Kung Fu Mastery	unk
4578	482	野生の心得	Wild Arts	unk
4579	483	野生の心得２	Wild Arts+	unk
4580	484	ブレイブハート	Brave Soul	unk
4581	485	ブレイブハート２	Brave Soul+	unk
4582	486	王者の凱歌	Royal Song	unk
4583	487	方陣マスタリ	Circle Mastery	unk
4584	488	真・方陣マスタリ	Circle Virtuoso	unk
4585	489	ケンカの心得	Brawler Arts	unk
4586	490	ケンカの心得２	Brawler Arts+	unk
4587	491	勝利の息吹	Life Support	unk
4588	492	勝利の息吹２	Life Support+	unk
4589	493	体勢マスタリ	Stance Master	unk
4590	494	体勢マスタリ２	Stance Virtuoso	unk
4591	495	獅子奮迅	Raging Lion	unk
4592	496	獅子奮迅２	Raging Lion+	unk
4593	497	豪傑の双腕	Heroic Gemini	val
4594	498	黄金の双翼	Golden Gemini	unk
4595	499	ルーンの盾	Runic Shield	val
4596	500	イージスの盾	Aegis Shield	unk
4597	501	ソードブレイカー	Swordbreaker	unk
4598	502	束縛の心得	Bind Arts	val
4599	503	真・束縛の心得	Bind Arts+	val
4600	504	一番星	First Star	val
4601	505	挑戦者の心得	Challenger Arts	val
4602	506	真・挑戦者の心得	Challenger Arts+	val
4603	507	下剋上	Uprising	unk
4604	508	再生能力	Restoring Touch	val
4605	509	ラッキースター	Lucky Star	unk
4606	510	覇者の称号	Conqueror Title	unk
4607	511	癒しの指	Healing Finger	val
4608	512	ディアガード	Dia Guard	unk
4609	513	ディアラマガード	Diarama Guard	unk
4610	514	巨腕スイング	Colossal Swing	val
4611	515	巨腕トルネード	Whirlwind Swing	val
4612	516	黄金連鎖	Golden Link	val
4613	517	連撃の心得	Combo Arts	val
4614	518	真・連撃の心得	Combo Arts+	val
4615	519	回避の心得	Dodge Arts	val
4616	520	真・回避の心得	Dodge Arts+	val
4617	521	トリックステップ	Trick Step	unk
4618	522	相殺ボディ	Immunity Buffer	val
4619	523	レメゲトン	Lemegeton	unk
4620	524	退魔の霧	Repulse Mist	unk
4621	525	火炎吸収	Absorb Fire	val
4622	526	疾風吸収	Absorb Wind	val
4623	527	氷結吸収	Absorb Ice	val
4624	528	電撃吸収	Absorb Elec	val
4625	529	救いの手	Healing Hand	val
4626	530	火炎ブースタ	Fire Boost	val
4627	531	氷結ブースタ	Ice Boost	val
4628	532	電撃ブースタ	Elec Boost	val
4629	533	疾風ブースタ	Wind Boost	val
4630	534	火炎ハイブースタ	Fire Amp	val
4631	535	氷結ハイブースタ	Ice Amp	val
4632	536	電撃ハイブースタ	Elec Amp	val
4633	537	疾風ハイブースタ	Wind Amp	val
4634	538	慈愛の心得	Devotion Arts	unk
4635	539	慈愛の悟り	Devotion Mastery	unk
4636	540	聖母の両手	Idol Hands	val
4637	541	奇襲の心得	Ambush Arts	val
4638	542	真・奇襲の心得	Ambush Arts+	val
4639	543	付着の心得	Ailment Arts	val
4640	544	真・付着の心得	Ailment Arts+	val
4641	545	魔法円	Circle Recovery	val
4642	546	審判のカード	Judgment Card	unk
4643	547	火炎ヘルブースタ	Inferno Boost	val
4644	548	疾風ヘルブースタ	Tornado Boost	val
4645	549	ＳＰカット	SP Focus	unk
4646	550	急所の心得	Critical Arts	unk
4647	551	真・急所の心得	Critical Arts+	unk
4648	552	女王の一刺し	Queen's Pierce	unk
4649	553	物理攻撃力ＵＰ	Attack Boost I	unk
4650	554	物理攻撃・中	Attack Boost II	unk
4651	555	物理攻撃・大	Attack Boost III	unk
4652	556	物理防御力ＵＰ	Defense Boost I	unk
4653	557	物理防御・中	Defense Boost II	unk
4654	558	物理防御・大	Defense Boost III	unk
4655	559	属性防御力ＵＰ	Affinity Boost I	unk
4656	560	属性防御・中	Affinity Boost II	unk
4657	561	属性防御・大	Affinity Boost III	unk
4658	562	安息の遊歩	Serene Stroll	unk
4659	563	回復歩行２	Serene Quest	unk
4660	564	回復歩行３	Serene Pilgrimage	unk
4661	565	二連の鎖	Double Link	val
4662	566	ダウンメイカー	Powerhouse	unk
4663	567	ダウンマイスター	Powerhouse+	unk
4664	568	孤高の威圧	Solitary Noblesse	unk
4665	569	属性攻撃・小	Magic Boost I	unk
4666	570	属性攻撃・中	Magic Boost II	unk
4667	571	属性攻撃・大	Magic Boost III	unk
4668	572	ＨＰブースタ	HP Boost	unk
4669	573	ＨＰハイブースタ	HP Amp	unk
4670	574	ＳＰブースタ	SP Boost	unk
4671	575	ＳＰハイブースタ	SP Amp	unk
4672	576	速度ブースタ	Agility Boost	unk
4673	577	速度ハイブースタ	Agility Amp	unk
4674	578	火炎耐性	Resist Fire	val
4675	579	氷結耐性	Resist Ice	val
4676	580	電撃耐性	Resist Elec	val
4677	581	疾風耐性	Resist Wind	val
4678	582	祝福耐性	Resist Bless	val
4679	583	呪怨耐性	Resist Curse	val
4680	584	物理耐性	Resist Phys	unk
4681	585	念動耐性	Resist Psy	val
4682	586	核熱耐性	Resist Nuke	val
4683	587	石化無効	Null Petrify	unk
4684	588	睡眠無効	Null Sleep	val
4685	589	混乱無効	Null Confusion	val
4686	590	毒無効	Null Poison	val
4687	591	食いしばり	Endure	val
4688	592	呪い無効	Null Hex	val
4689	593	麻痺無効	Null Paralysis	unk
4690	594	煙りの末	Keburi no Sue	unk
4691	595	褒賞のムチ	Masochist Lash	unk
4692	596	褒賞のムチ	Masochist Lash	unk
4693	597	魔封じ無効	Null M-Bind	val
4694	598	力封じ無効	Null S-Bind	val
4695	599	速封じ無効	Null A-Bind	val
4696	600	斬撃の鬼	Demon's Cut	unk
4697	601	壊撃の鬼	Demon's Bash	unk
4698	602	突撃の鬼	Demon's Stab	unk
4699	603	斬撃の神	God's Cut	unk
4700	604	壊撃の神	God's Bash	unk
4701	605	突撃の神	God's Stab	unk
4702	606	ＳＰリターン	SP Recoil	unk
4703	607	ＳＰリターン２	SP Redeemer	unk
4704	608	ブランク	Blank	unk
4705	609	トドメの一撃	Finishing Strike	unk
4706	610	トドメの一撃	Finishing Strike	unk
4707	611	トドメの一撃	Finishing Strike	unk
4708	612	トドメの一撃	Finishing Strike	unk
4709	613	トドメの一撃	Finishing Strike	unk
4710	614	トドメの一撃	Finishing Strike	unk
4711	615	トドメの一撃	Finishing Strike	unk
4712	616	トドメの一撃	Finishing Strike	unk
4713	617	トドメの一撃	Finishing Strike	unk
4714	618	トドメの一撃	Finishing Strike	unk
4715	619	トドメの一撃	Finishing Strike	unk
4716	620	トドメの一撃	Finishing Strike	unk
4717	621	トドメの一撃	Finishing Strike	unk
4718	622	トドメの一撃	Finishing Strike	unk
4719	623	トドメの一撃	Finishing Strike	unk
4720	624	トドメの一撃	Finishing Strike	unk
4721	625	トドメの一撃	Finishing Strike	unk
4722	626	トドメの一撃	Finishing Strike	unk
4723	627	トドメの一撃	Finishing Strike	unk
4724	628	トドメの一撃	Finishing Strike	unk
4725	629	トドメの一撃	Finishing Strike	unk
4726	630	トドメの一撃	Finishing Strike	unk
4727	631	トドメの一撃	Finishing Strike	unk
4728	632	トドメの一撃	Finishing Strike	unk
4729	633	トドメの一撃	Finishing Strike	unk
4730	634	トドメの一撃	Finishing Strike	unk
4731	635	トドメの一撃	Finishing Strike	unk
4732	636	トドメの一撃	Finishing Strike	unk
4733	637	ブランク	Blank	unk
4734	638	スキルテスト	Skill Test	unk
4735	639	ブランク	Blank	unk
4736	640	ブランク	Blank	unk
4737	641	バインドキュア	Bind Cure	unk
4738	642	バインドフリー	Bind Free	unk
4739	643	イモータルチキン	Undying Fowl	unk
4740	644	宝玉	Bead	unk
4741	645	ソウルドロップ	Soul Drop	unk
4742	646	スナフソウル	Snuff Soul	unk
4743	647	チューインソウル	Chewing Soul	unk
4744	648	アムリタソーダ	Amrita Soda	unk
4745	649	ソーマの雫	Soma Droplet	unk
